POINTNUMBER;POINTNAME;STATIONNAME;STATIONNAMEABBREVIATED;PUNTOSINTER;NOMBRESINTER
60317;50PW     L  REC  POTENCIA ACTIVA;LAVALLE;LAV;2,60317;50PW     L  REC 
60318;50PQ     L  REC  POTENCIA REACTIVA;LAVALLE;LAV;2,60318;50PQ     L  REC 
60319;50CTE    L  CAT  CORRIENTE;LAVALLE;LAV;2,60319;50CTE    L  CAT 
60320;50TEN    NODO 2  TENSION;LAVALLE;LAV;2,6032;50TEN    NODO 2 
60321;50PW     L  CAT  POTENCIA ACTIVA;LAVALLE;LAV;2,60321;50PW     L  CAT 
60322;50PQ     L  CAT  POTENCIA REACTIVA;LAVALLE;LAV;2,60322;50PQ     L  CAT 
60323;50CTE    L  BRA  CORRIENTE;LAVALLE;LAV;2,60323;50CTE    L  BRA 
60324;50TEN    NODO 3  TENSION;LAVALLE;LAV;2,60324;50TEN    NODO 3 
60325;50PW     L  BRA  POTENCIA ACTIVA;LAVALLE;LAV;2,60325;50PW     L  BRA 
60326;50PQ     L  BRA  POTENCIA REACTIVA;LAVALLE;LAV;2,60326;50PQ     L  BRA 
60327;50CTE    L  SAN  CORRIENTE;LAVALLE;LAV;2,60327;50CTE    L  SAN 
60328;50TEN    NODO 4  TENSION;LAVALLE;LAV;2,60328;50TEN    NODO 4 
60329;50PW     L  SAN  POTENCIA ACTIVA;LAVALLE;LAV;2,60329;50PW     L  SAN 
60330;50PQ     L  SAN  POTENCIA REACTIVA;LAVALLE;LAV;2,6033;50PQ     L  SAN 
60331;50CTE    L  LAV  CORRIENTE;LAVALLE;LAV;2,60331;50CTE    L  LAV 
60332;50PW     L  LAV  POTENCIA ACTIVA;LAVALLE;LAV;2,60332;50PW     L  LAV 
60333;50PQ     L  LAV  POTENCIA REACTIVA;LAVALLE;LAV;2,60333;50PQ     L  LAV 
60334;50CTE     TR  01 CORRIENTE;SANTIAGO;SAN;2,60334;50CTE     TR  01
60335;50PW      TR  01 POTENCIA ACTIVA;SANTIAGO;SAN;2,60335;50PW      TR  01
60336;50PQ      TR  01 POTENCIA REACTIVA;SANTIAGO;SAN;2,60336;50PQ      TR  01
60337;13CTE     TR  01 CORRIENTE;SANTIAGO;SAN;2,60337;13CTE     TR  01
60338;13TEN     TR  01 TENSION;SANTIAGO;SAN;2,60338;13TEN     TR  01
60339;13PW      TR  01 POTENCIA ACTIVA;SANTIAGO;SAN;2,60339;13PW      TR  01
60340;13PQ      TR  01 POTENCIA REACTIVA;SANTIAGO;SAN;2,6034;13PQ      TR  01
60341;13CTE    L  SGS  CORRIENTE;SANTIAGO;SAN;2,60341;13CTE    L  SGS 
60342;13PW     L  SGS  POTENCIA ACTIVA;SANTIAGO;SAN;2,60342;13PW     L  SGS 
60343;13PQ     L  SGS  POTENCIA REACTIVA;SANTIAGO;SAN;2,60343;13PQ     L  SGS 
60344;13CTE    L  SGO  CORRIENTE;SANTIAGO;SAN;2,60344;13CTE    L  SGO 
60345;13PW     L  SGO  POTENCIA ACTIVA;SANTIAGO;SAN;2,60345;13PW     L  SGO 
60346;13PQ     L  SGO  POTENCIA REACTIVA;SANTIAGO;SAN;2,60346;13PQ     L  SGO 
60347;13CTE    L  LOR  CORRIENTE;SANTIAGO;SAN;2,60347;13CTE    L  LOR 
60348;13PW     L  LOR  POTENCIA ACTIVA;SANTIAGO;SAN;2,60348;13PW     L  LOR 
60349;13PQ     L  LOR  POTENCIA REACTIVA;SANTIAGO;SAN;2,60349;13PQ     L  LOR 
60350;13CTE    L  SMR  CORRIENTE;SANTIAGO;SAN;2,6035;13CTE    L  SMR 
60351;13PW     L  SMR  POTENCIA ACTIVA;SANTIAGO;SAN;2,60351;13PW     L  SMR 
60352;13PQ     L  SMR  POTENCIA REACTIVA;SANTIAGO;SAN;2,60352;13PQ     L  SMR 
60353;50TEN    L  LAV  TENSION;SANTIAGO;SAN;2,60353;50TEN    L  LAV 
60354;50TEN     TR  01 TENSION;SANTIAGO;SAN;2,60354;50TEN     TR  01
60356;ENA-BAN 01PW TG01;BANDERA;BAN;2,60356;ENA-BAN 01PW TG0
60357;ENA-BAN 01PQ TG01;BANDERA;BAN;2,60357;ENA-BAN 01PQ TG0
60358;ENA-BAN 01PW TG02;BANDERA;BAN;2,60358;ENA-BAN 01PW TG0
60359;ENA-BAN 01PQ TG02;BANDERA;BAN;2,60359;ENA-BAN 01PQ TG0
60360;SMT 01RBC TG1;GENERADORES;GEN;2,6036;SMT 01RBC TG1
60361;SMT 01TEN TG1;GENERADORES;GEN;2,60361;SMT 01TEN TG1
60362;13TEN     B   A  TENSION;SANTIAGO;SAN;2,60362;13TEN     B   A 
60363;13TEN     B   B  TENSION;SANTIAGO;SAN;2,60363;13TEN     B   B 
60364;50CTE TR 02;COBOS;COB;2,60364;50CTE TR 02
60365;50PW  TR 02;COBOS;COB;2,60365;50PW  TR 02
60366;50PQ  TR 02;COBOS;COB;2,60366;50PQ  TR 02
60367;50RBC TR 02;COBOS;COB;2,60367;50RBC TR 02
60368;34CTE TR 02;COBOS;COB;2,60368;34CTE TR 02
60369;34TEN TR 02;COBOS;COB;2,60369;34TEN TR 02
60370;34PW  TR 02;COBOS;COB;2,6037;34PW  TR 02
60371;34PQ  TR 02;COBOS;COB;2,60371;34PQ  TR 02
60372;50TEN     B   A  TENSION;SANTIAGO;SAN;2,60372;50TEN     B   A 
60373;50TEN     B   B  TENSION;SANTIAGO;SAN;2,60373;50TEN     B   B 
60374;50TEN     B   A  TENSION;LAVALLE;LAV;2,60374;50TEN     B   A 
60375;50TEN     B   B  TENSION;LAVALLE;LAV;2,60375;50TEN     B   B 
60376;34PW   L  ATA;COBOS;COB;2,60376;34PW   L  ATA
60377;34PQ   L  ATA;COBOS;COB;2,60377;34PQ   L  ATA
60378;34CTE  L  ATA;COBOS;COB;2,60378;34CTE  L  ATA
60379;34TEN  L  ATA;COBOS;COB;2,60379;34TEN  L  ATA
101000;13CTE     TR  01 CORRIENTE;LULES;LUL;2,101;13CTE     TR  01
101002;03PW      TR  01 POTENCIA ACTIVA;LULES;LUL;2,101002;03PW      TR  01
101003;03PQ      TR  01 POTENCIA REACTIVA;LULES;LUL;2,101003;03PQ      TR  01
101004;03CTE     TR  01 CORRIENTE;LULES;LUL;2,101004;03CTE     TR  01
101005;03TEN     TR  01 TENSION;LULES;LUL;2,101005;03TEN     TR  01
101006;03CTE   MERCEDES 2 CORRIENTE;LULES;LUL;2,101006;03CTE   MERCEDES
101007;03CTE   REDUCCION 02 CORRIENTE;LULES;LUL;2,101007;03CTE   REDUCCIO
101008;03CTE  REDUCCION 01 CORRIENTE;LULES;LUL;2,101008;03CTE  REDUCCION
