60292,"ENA-TAR 01PQ TG","13,2","Generación","Q","G","TAR","TARTAGAL","SALTA","NORTE"
60293,"01PW MG01 POTENCI","13,2","Generación","P","G","TIN","TINOGASTA","CATAMARCA","SUR"
60294,"01PQ MG01 POTENCI","13,2","Generación","Q","G","TIN","TINOGASTA","CATAMARCA","SUR"
60295,"01PW  MG02  POTEN","13,2","Generación"," "," ","AÑA","AÑATUYA","SANTIAGO DEL ESTERO","CENTRO"
60296,"01PQ  MG02  POTEN","13,2","Generación"," "," ","AÑA","AÑATUYA","SANTIAGO DEL ESTERO","CENTRO"
60297,"01PW  MG03  POTEN","13,2","Generación"," "," ","AÑA","AÑATUYA","SANTIAGO DEL ESTERO","CENTRO"
60298,"01PQ  MG03  POTEN","13,2","Generación"," "," ","AÑA","AÑATUYA","SANTIAGO DEL ESTERO","CENTRO"
60299,"01PW MG02 POTENCI","13,2","Generación","P","G","TIN","TINOGASTA","CATAMARCA","SUR"
60300,"01PQ MG02 POTENCI","13,2","Generación","Q","G","TIN","TINOGASTA","CATAMARCA","SUR"
60301,"ENA-CAT INTA 01PW","13,2","Generación","P","G","CAT1","CATAMARCA 1","CATAMARCA","SUR"
60302,"ENA-CAT INTA 01PQ","13,2","Generación","Q","G",,,,
60303,"ENA-LRI 01PW TG","13,2","Generación","PG","G","LRI1","LA RIOJA NORTE 1","LA RIOJA","SUR"
60304,"ENA-LRI 01PQ TG","13,2","Generación","Q","G","LRI","LA RIOJA","LA RIOJA","SUR"
60305,"01PW  MG01  POTEN","13,2","Generación","P","G",,,,
60306,"01PQ  MG01 POTENC","13,2","Generación","Q","G",,,,
60307,"01PW  MG02  POTEN","13,2","Generación","P","G",,,,
60308,"01PQ        MG02 ","13,2","Generación","Q","G","LIB",,,
60309,"ENA-CAT PIND 01PW","13,2","Generación","P","G","CAT1","CATAMARCA 1","CATAMARCA","SUR"
60310,"ENA-CAT PIND 01PQ","13,2","Generación","Q","G",,,,
60311,"ENA-CAT TERE 01PW","13,2","Generación","P","G","CAT1","CATAMARCA 1","CATAMARCA","SUR"
60312,"ENA-CAT TERE 01PQ","13,2","Generación","Q","G",,,,
60313,"03PW PROVIDENCIA",33,"Generación","P","G","VQU","VILLA QUINTEROS","TUCUMAN","CENTRO"
60314,"03PQ PROVIDENCIA",33,"Generación","Q","G","VQU","TUCUMAN","TUCUMAN","CENTRO"
60315,"50CTE    L  REC  ",500,"Linea","Corriente",,"LAV","LAVALLE",,
60316,"50TEN    NODO 1  ",500,"Barra","Tensión",,"LAV","LAVALLE",,
60317,"50PW     L  REC  ",500,"Linea","P","I","LAV","LAVALLE",,
60318,"50PQ     L  REC  ",500,"Linea","Q","I","LAV","LAVALLE",,
60319,"50CTE    L  CAT  ",500,"Linea","Corriente",,"LAV","LAVALLE",,
60320,"50TEN    NODO 2  ",500,"Barra","Tensión",,"LAV","LAVALLE",,
60321,"50PW     L  CAT  ",500,"Linea","P","I","LAV","LAVALLE",,
60322,"50PQ     L  CAT  ",500,"Linea","Q","I","LAV","LAVALLE",,
60323,"50CTE    L  BRA  ",500,"Linea","Corriente",,"LAV","LAVALLE",,
60324,"50TEN    NODO 3  ",500,"Barra","Tensión",,"LAV","LAVALLE",,
60325,"50PW     L  BRA  ",500,"Linea","P","I","LAV","LAVALLE",,
60326,"50PQ     L  BRA  ",500,"Linea","Q","I","LAV","LAVALLE",,
60327,"50CTE    L  SAN  ",500,"Linea","Corriente",,"LAV","LAVALLE",,
60328,"50TEN    NODO 4  ",500,"Barra","Tensión",,"LAV","LAVALLE",,
60329,"50PW     L  SAN  ",500,"Linea","P","I","LAV","LAVALLE",,
60330,"50PQ     L  SAN  ",500,"Linea","Q","I","LAV","LAVALLE",,
60331,"50CTE    L  LAV  ",500,"Linea","Corriente",,"LAV","LAVALLE",,
60332,"50PW     L  LAV  ",500,"Linea","P","I","LAV","LAVALLE",,
60333,"50PQ     L  LAV  ",500,"Linea","Q","I","LAV","LAVALLE",,
60334,"50CTE     TR  01 ",500,"Transformador","Corriente",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60335,"50PW      TR  01 ",500,"Transformador","P","T","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60336,"50PQ      TR  01 ",500,"Transformador","Q","T","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60337,"13CTE     TR  01 ",132,"Transformador","Corriente",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60338,"13TEN     TR  01 ",132,"Transformador","Tensión",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60339,"13PW      TR  01 ",132,"Transformador","P","T","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60340,"13PQ      TR  01 ",132,"Transformador","Q","T","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60341,"13CTE    L  SGS  ",132,"Linea","Corriente",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60342,"13PW     L  SGS  ",132,"Linea","P","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60343,"13PQ     L  SGS  ",132,"Linea","Q","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60344,"13CTE    L  SGO  ",132,"Linea","Corriente",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60345,"13PW     L  SGO  ",132,"Linea","P","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60346,"13PQ     L  SGO  ",132,"Linea","Q","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60347,"13CTE    L  LOR  ",132,"Linea","Corriente",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60348,"13PW     L  LOR  ",132,"Linea","P","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60349,"13PQ     L  LOR  ",132,"Linea","Q","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60350,"13CTE    L  SMR  ",132,"Linea","Corriente",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60351,"13PW     L  SMR  ",132,"Linea","P","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60352,"13PQ     L  SMR  ",132,"Linea","Q","I","SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
