"POINTNUMBER","POINTNAME","STATIONNAMEABBREVIATED"
104012,"01CTE     TR  01 CORRIENTE","TOE"
104013,"01PW      TR  01 POTENCIA ACTIVA","TOE"
104014,"01PQ      TR  01 POTENCIA REACTIVA","TOE"
104016,"01CTE   BELGRANO CORRIENTE","TOE"
104018,"01CTE    AMERICA CORRIENTE","TOE"
104019,"01CTE GODOY CRUZ CORRIENTE","TOE"
104020,"01CTE SAN MARTIN CORRIENTE","TOE"
104021,"01CTE    TORASSO CORRIENTE","TOE"
104022,"01CTE  HIGUERITA CORRIENTE","TOE"
104024,"01CTE 9 DE JULIO CORRIENTE","TOE"
104025,"01CTE SAN JAVIER CORRIENTE","TOE"
104026,"01CTE  V CARMELA CORRIENTE","TOE"
104027,"01CTE  ACONQUIJA CORRIENTE","TOE"
104028,"01CTE  LOLA MORA CORRIENTE","TOE"
104029,"01CTE   WALLMART CORRIENTE","TOE"
104031,"13QFAL        ET REACTIVO FALTANTE","TOE"
104032,"13CTE     TR  03 CORRIENTE","TOE"
104033,"01PW      TR  03 POTENCIA ACTIVA","TOE"
104034,"01PQ      TR  03 POTENCIA REACTIVA","TOE"
104035,"01TEN     TR  03 TENSION","TOE"
104036,"01CTE     TR  03 CORRIENTE","TOE"
104037,"01CTE     YUNGAS CORRIENTE","TOE"
104038,"01CTE    MEDRANO CORRIENTE","TOE"
104039,"01CTE   EL SOLAR CORRIENTE","TOE"
104041,"01CTE  O DE AGUA CORRIENTE","TOE"
104042,"13PW      TR  01 POTENCIA ACTIVA","TOE"
104043,"13PQ      TR  01 POTENCIA REACTIVA","TOE"
104044,"13PW      TR  02 POTENCIA ACTIVA","TOE"
104045,"13PQ      TR  02 POTENCIA REACTIVA","TOE"
104046,"13CTE     TR  04 CORRIENTE","TOE"
104048,"01TEN     TR  04 TENSION","TOE"
104049,"01CTE     TR  04 CORRIENTE","TOE"
104050,"01PW      TR  04 POTENCIA ACTIVA","TOE"
104051,"01PQ      TR  04 POTENCIA REACTIVA","TOE"
104052,"01CTE    CEVILES CORRIENTE","TOE"
104053,"01CTE PTE. PERON CORRIENTE","TOE"
104054,"01CTE     BULNES CORRIENTE","TOE"
104055,"01CTE M. DE LUNA CORRIENTE","TOE"
104056,"13TEN   B   A    TENSION","TOE"
104057,"01TEN   B   A    TENSION","TOE"
104058,"01TEN   B   B    TENSION","TOE"
104059,"01TEN   B   C    TENSION","TOE"
104060,"01TEN   B   D    TENSION","TOE"
105000,"01PW      TR  01 POTENCIA ACTIVA","EST"
105001,"01PQ      TR  01 POTENCIA REACTIVA","EST"
105002,"01PW      TR  02 POTENCIA ACTIVA","EST"
105003,"01PQ      TR  02 POTENCIA REACTIVA","EST"
105004,"01CTE      ASUNT CORRIENTE","EST"
105005,"01CTE       ROCA CORRIENTE","EST"
105006,"01CTE   LA RIOJA CORRIENTE","EST"
105007,"01CTE    9 JULIO CORRIENTE","EST"
105008,"01CTE  BANDA SUR CORRIENTE","EST"
105009,"01CTE AVELLANEDA CORRIENTE","EST"
105010,"01CTE    TUCUMAN CORRIENTE","EST"
105011,"01CTE     LARREA CORRIENTE","EST"
105012,"01CTE     ABASTO CORRIENTE","EST"
105013,"01CTE   CORDOBA CORRIENTE","EST"
105014,"01CTE   ALIMEN 2 CORRIENTE","EST"
105015,"01CTE   ALIMEN 3 CORRIENTE","EST"
105016,"01CTE   ALIMEN 4 CORRIENTE","EST"
105017,"01CTE   M. LILLO CORRIENTE","EST"
105018,"01CTE AVELLANE 4 CORRIENTE","EST"
105019,"01CTE    AC  A B CORRIENTE","EST"
105022,"01CTE     TR  01 CORRIENTE","EST"
105023,"01CTE     TR  02 CORRIENTE","EST"
105025,"13CTE    L  IND1 CORRIENTE","EST"
105026,"13CTE    L  SAR  CORRIENTE","EST"
105027,"13PW     L  IND1 POTENCIA ACTIVA","EST"
105029,"13PW     L  SAR  POTENCIA ACTIVA","EST"
105030,"13PQ     L  IND1 POTENCIA REACTIVA","EST"
105032,"13PQ     L  SAR  POTENCIA REACTIVA","EST"
105033,"13TEN    B   A   TENSION","EST"
105034,"01TEN    B   A   TENSION","EST"
105035,"01TEN    B   B   TENSION","EST"
105036,"13PW      TR  01 POTENCIA ACTIVA","EST"
105037,"13PW      TR  02 POTENCIA ACTIVA","EST"
105038,"13PQ      TR  02 POTENCIA REACTIVA","EST"
105039,"13PQ      TR  01 POTENCIA REACTIVA","EST"
105040,"13CTE     TR  01 CORRIENTE","EST"
105041,"13CTE     TR  02 CORRIENTE","EST"
105043,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","EST"
105044,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","EST"
105045,"13QFAL        ET REACTIVO FALTANTE","EST"
105046,"01CTE     TR  03 CORRIENTE","EST"
105047,"01TEN   B TR  03 TENSION","EST"
105060,"13PW      TR  03 POTENCIA ACTIVA","EST"
105061,"13PQ      TR  03 POTENCIA REACTIVA","EST"
105062,"13CTE     TR  03 CORRIENTE","EST"
105063,"01PW      TR  03 POTENCIA ACTIVA","EST"
